benchmark,selector,budget,found_best_pct,mean_accuracy,mean_evals,mean_cost,cost_savings,bf_evals,bf_cost,gt_name,gt_acc
bfcl,matrix_ucb_lrf,0.3,30.0,0.6929999999999997,540.0,38.635572315999994,54.44181852333696,1800,84.80490455000027,agent=Kimi K2.5,0.7
bfcl,matrix_ucb,0.5,88.0,0.6999999999999998,900.0,73.09766547880007,13.80490802191483,1800,84.80490455000027,agent=Kimi K2.5,0.7
bfcl,matrix_ucb_lrf,0.5,22.0,0.6703999999999994,900.0,70.90471850300004,16.390780840752907,1800,84.80490455000027,agent=Kimi K2.5,0.7
hotpotqa,matrix_ucb,0.1,12.0,0.6953951960476834,1617.0,5.179267315399995,90.02086901533093,16168,51.90098540000027,planner=Ministral 3 8B + solver=Claude Opus 4.6,0.7426738384159305
hotpotqa,matrix_ucb,0.2,62.0,0.7354129819376412,3234.0,12.49400723659999,75.92722538828728,16168,51.90098540000027,planner=Ministral 3 8B + solver=Claude Opus 4.6,0.7426738384159305
hotpotqa,matrix_ucb,0.3,98.0,0.7424695410082001,4851.0,18.406979526800015,64.53443150464746,16168,51.90098540000027,planner=Ministral 3 8B + solver=Claude Opus 4.6,0.7426738384159305
hotpotqa,matrix_ucb,0.5,100.0,0.7426738384159315,8084.0,23.183256721600024,55.33175999853,16168,51.90098540000027,planner=Ministral 3 8B + solver=Claude Opus 4.6,0.7426738384159305
mathqa,matrix_ucb,0.1,14.000000000000002,0.9556641849578604,1497.0,13.496964334000001,89.10413134476822,14961,123.87231125000098,answer=Claude Opus 4.6 + critic=Claude Haiku 4.5,0.9883720930232558
mathqa,matrix_ucb,0.2,38.0,0.9836573062656377,2993.0,35.181354362800015,71.59869384224496,14961,123.87231125000098,answer=Claude Opus 4.6 + critic=Claude Haiku 4.5,0.9883720930232558
mathqa,matrix_ucb,0.3,92.0,0.9883555800192656,4489.0,62.12122638580004,49.850595537507935,14961,123.87231125000098,answer=Claude Opus 4.6 + critic=Claude Haiku 4.5,0.9883720930232558
mathqa,matrix_ucb,0.5,100.0,0.9883720930232563,7481.0,89.09892700400017,28.071958854324297,14961,123.87231125000098,answer=Claude Opus 4.6 + critic=Claude Haiku 4.5,0.9883720930232558
hotpotqa,matrix_ucb_lrf,0.1,4.0,0.6783130855352326,1617.0,5.968009405999997,88.5011635906243,16168,51.90098540000027,planner=Ministral 3 8B + solver=Claude Opus 4.6,0.7426738384159305
hotpotqa,matrix_ucb_lrf,0.2,2.0,0.6528566575618021,3234.0,14.957556786199994,71.18059190799117,16168,51.90098540000027,planner=Ministral 3 8B + solver=Claude Opus 4.6,0.7426738384159305
hotpotqa,matrix_ucb_lrf,0.3,0.0,0.5981316120470912,4851.0,18.85194904160001,63.677088409192486,16168,51.90098540000027,planner=Ministral 3 8B + solver=Claude Opus 4.6,0.7426738384159305
hotpotqa,matrix_ucb_lrf,0.5,36.0,0.6150866072174985,8084.0,23.108237767199977,55.47630244569527,16168,51.90098540000027,planner=Ministral 3 8B + solver=Claude Opus 4.6,0.7426738384159305
mathqa,matrix_ucb_lrf,0.1,4.0,0.9028404745582516,1497.0,16.854884089200002,86.39334011037928,14961,123.87231125000098,answer=Claude Opus 4.6 + critic=Claude Haiku 4.5,0.9883720930232558
mathqa,matrix_ucb_lrf,0.2,4.0,0.9190314482421811,2993.0,40.635847738200034,67.19537455292317,14961,123.87231125000098,answer=Claude Opus 4.6 + critic=Claude Haiku 4.5,0.9883720930232558
mathqa,matrix_ucb_lrf,0.3,28.000000000000004,0.9356858661533661,4489.0,65.97804307260007,46.737053335961264,14961,123.87231125000098,answer=Claude Opus 4.6 + critic=Claude Haiku 4.5,0.9883720930232558
mathqa,matrix_ucb_lrf,0.5,100.0,0.9883720930232563,7481.0,89.48278314300023,27.76207835308351,14961,123.87231125000098,answer=Claude Opus 4.6 + critic=Claude Haiku 4.5,0.9883720930232558
