Selector,Found Best %,Mean Accuracy,Mean Evals,Mean Cost ($),Cost Savings
brute_force (ref),100.0%,0.9884,14961,123.8723,0.0%
arm_elimination,86.0%,0.9883,3356,51.8615,58.1%
hill_climbing,80.0%,0.9876,3926,54.2243,56.2%
random_search,28.0%,0.9817,3880,31.7713,74.4%
epsilon_lucb,4.0%,0.9699,447,6.0971,95.1%
bayesian_optimization,4.0%,0.9541,3666,35.5599,71.3%
lm_proposal,0.0%,0.9582,158,5.6050,95.5%
threshold_se,0.0%,0.7452,1355,6.9006,94.4%
